% 1. Title: Blood Cell Images
% 2. URL: https://www.kaggle.com/datasets/paultimothymooney/blood-cells
%
% 3. Context:
%    The diagnosis of blood-based diseases often involves identifying and characterizing patient blood samples.
%    Automated methods to detect and classify blood cell subtypes have important medical applications.
%
% 4. Content:
%    This dataset contains 366 images of blood cells (JPEG) with accompanying cell type labels (ARFF).
%    The cell types are Eosinophil, Lymphocyte, Monocyte, and Neutrophil.
%
% 5. Acknowledgements:
%    https://github.com/Shenggan/BCCD_Dataset
%    MIT License
%
% 6. Inspiration:
%    The diagnosis of blood-based diseases often involves identifying and characterizing patient blood samples.
%    Automated methods to detect and classify blood cell subtypes have important medical applications.
%
@relation blood_cells
@attribute img string
@attribute class {NEUTROPHIL,EOSINOPHIL,LYMPHOCYTE,MONOCYTE}
@data
BloodImage_00000.jpg,NEUTROPHIL
BloodImage_00005.jpg,NEUTROPHIL
BloodImage_00011.jpg,NEUTROPHIL
BloodImage_00016.jpg,NEUTROPHIL
BloodImage_00017.jpg,EOSINOPHIL
BloodImage_00018.jpg,NEUTROPHIL
BloodImage_00019.jpg,NEUTROPHIL
BloodImage_00021.jpg,LYMPHOCYTE
BloodImage_00023.jpg,EOSINOPHIL
BloodImage_00040.jpg,MONOCYTE
BloodImage_00057.jpg,EOSINOPHIL
BloodImage_00062.jpg,EOSINOPHIL
BloodImage_00063.jpg,NEUTROPHIL
BloodImage_00068.jpg,EOSINOPHIL
BloodImage_00072.jpg,NEUTROPHIL
BloodImage_00073.jpg,NEUTROPHIL
BloodImage_00075.jpg,EOSINOPHIL
BloodImage_00077.jpg,NEUTROPHIL
BloodImage_00078.jpg,NEUTROPHIL
BloodImage_00082.jpg,NEUTROPHIL
BloodImage_00086.jpg,NEUTROPHIL
BloodImage_00089.jpg,LYMPHOCYTE
BloodImage_00095.jpg,EOSINOPHIL
BloodImage_00098.jpg,NEUTROPHIL
BloodImage_00101.jpg,EOSINOPHIL
BloodImage_00107.jpg,EOSINOPHIL
BloodImage_00108.jpg,EOSINOPHIL
BloodImage_00124.jpg,NEUTROPHIL
BloodImage_00140.jpg,LYMPHOCYTE
BloodImage_00143.jpg,EOSINOPHIL
BloodImage_00145.jpg,NEUTROPHIL
BloodImage_00161.jpg,NEUTROPHIL
BloodImage_00162.jpg,EOSINOPHIL
BloodImage_00163.jpg,NEUTROPHIL
BloodImage_00178.jpg,NEUTROPHIL
BloodImage_00183.jpg,EOSINOPHIL
BloodImage_00187.jpg,EOSINOPHIL
BloodImage_00189.jpg,NEUTROPHIL
BloodImage_00197.jpg,NEUTROPHIL
BloodImage_00198.jpg,NEUTROPHIL
BloodImage_00206.jpg,LYMPHOCYTE
BloodImage_00214.jpg,NEUTROPHIL
BloodImage_00215.jpg,NEUTROPHIL
BloodImage_00218.jpg,NEUTROPHIL
BloodImage_00220.jpg,EOSINOPHIL
BloodImage_00221.jpg,NEUTROPHIL
BloodImage_00229.jpg,LYMPHOCYTE
BloodImage_00230.jpg,NEUTROPHIL
BloodImage_00233.jpg,LYMPHOCYTE
BloodImage_00239.jpg,NEUTROPHIL
BloodImage_00245.jpg,NEUTROPHIL
BloodImage_00251.jpg,EOSINOPHIL
BloodImage_00254.jpg,LYMPHOCYTE
BloodImage_00255.jpg,MONOCYTE
BloodImage_00258.jpg,LYMPHOCYTE
BloodImage_00262.jpg,MONOCYTE
BloodImage_00268.jpg,NEUTROPHIL
BloodImage_00271.jpg,EOSINOPHIL
BloodImage_00281.jpg,MONOCYTE
BloodImage_00289.jpg,EOSINOPHIL
BloodImage_00290.jpg,EOSINOPHIL
BloodImage_00293.jpg,NEUTROPHIL
BloodImage_00297.jpg,NEUTROPHIL
BloodImage_00298.jpg,NEUTROPHIL
BloodImage_00300.jpg,NEUTROPHIL
BloodImage_00308.jpg,NEUTROPHIL
BloodImage_00322.jpg,NEUTROPHIL
BloodImage_00330.jpg,NEUTROPHIL
BloodImage_00332.jpg,NEUTROPHIL
BloodImage_00335.jpg,MONOCYTE
BloodImage_00337.jpg,NEUTROPHIL
BloodImage_00338.jpg,NEUTROPHIL
BloodImage_00341.jpg,NEUTROPHIL
BloodImage_00345.jpg,EOSINOPHIL
BloodImage_00353.jpg,EOSINOPHIL
BloodImage_00362.jpg,NEUTROPHIL
BloodImage_00367.jpg,NEUTROPHIL
BloodImage_00368.jpg,NEUTROPHIL
BloodImage_00375.jpg,NEUTROPHIL
BloodImage_00376.jpg,EOSINOPHIL
BloodImage_00392.jpg,NEUTROPHIL
BloodImage_00395.jpg,NEUTROPHIL
BloodImage_00400.jpg,NEUTROPHIL
BloodImage_00402.jpg,NEUTROPHIL
BloodImage_00404.jpg,NEUTROPHIL
BloodImage_00407.jpg,NEUTROPHIL
BloodImage_00001.jpg,NEUTROPHIL
BloodImage_00002.jpg,NEUTROPHIL
BloodImage_00003.jpg,NEUTROPHIL
BloodImage_00004.jpg,NEUTROPHIL
BloodImage_00006.jpg,NEUTROPHIL
BloodImage_00007.jpg,NEUTROPHIL
BloodImage_00009.jpg,EOSINOPHIL
BloodImage_00012.jpg,NEUTROPHIL
BloodImage_00013.jpg,NEUTROPHIL
BloodImage_00014.jpg,NEUTROPHIL
BloodImage_00015.jpg,MONOCYTE
BloodImage_00020.jpg,LYMPHOCYTE
BloodImage_00022.jpg,NEUTROPHIL
BloodImage_00024.jpg,NEUTROPHIL
BloodImage_00026.jpg,EOSINOPHIL
BloodImage_00028.jpg,EOSINOPHIL
BloodImage_00029.jpg,NEUTROPHIL
BloodImage_00030.jpg,NEUTROPHIL
BloodImage_00032.jpg,NEUTROPHIL
BloodImage_00033.jpg,NEUTROPHIL
BloodImage_00035.jpg,NEUTROPHIL
BloodImage_00036.jpg,EOSINOPHIL
BloodImage_00037.jpg,LYMPHOCYTE
BloodImage_00038.jpg,LYMPHOCYTE
BloodImage_00039.jpg,NEUTROPHIL
BloodImage_00041.jpg,EOSINOPHIL
BloodImage_00042.jpg,EOSINOPHIL
